# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/scratch/hodgskiss/Cu_Project/featurecounts/GCA_000698785.1_ASM69878v1_genomic.gff" "-t" "gene" "-g" "ID" "-o" "./featurecounts/cu_counts.txt" "/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam" "/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/hodgskiss/Cu_Project/Bowtie2/L1Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L2Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L3Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L5Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/L6Day7_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R1Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R2Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R3Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R4Day5_trimmed_filt_mRNA.sam	/scratch/hodgskiss/Cu_Project/Bowtie2/R5Day5_trimmed_filt_mRNA.sam
gene2418	CP007536.1	1935975	1936103	+	129	194	278	157	525	383	601	584	730	664	446
gene2419	CP007536.1	1936216	1936554	+	339	1205	1648	1212	2393	2088	2948	2432	3058	2583	2161
gene2420	CP007536.1	1936717	1938852	+	2136	4035	5022	3702	8498	6311	5878	4762	6567	5652	4342
gene2421	CP007536.1	1938919	1939146	+	228	329	333	246	576	456	409	422	518	528	390
gene2422	CP007536.1	1939153	1940214	-	1062	1661	1906	1484	3335	2862	5466	3755	4268	3691	2767
gene2423	CP007536.1	1940256	1940528	-	273	76	78	66	159	120	239	198	220	263	177
gene2424	CP007536.1	1940607	1940876	-	270	229	354	250	601	485	788	650	695	566	378
gene2425	CP007536.1	1941186	1941659	+	474	397	577	417	762	588	100	108	278	263	186
gene2426	CP007536.1	1941708	1942004	+	297	235	303	205	419	323	244	206	340	290	229
gene2427	CP007536.1	1942037	1942615	+	579	178	154	114	292	246	378	282	323	320	238
gene2428	CP007536.1	1942605	1943459	-	855	121	129	80	231	172	205	173	212	188	162
gene2429	CP007536.1	1943553	1943741	+	189	10	7	12	29	20	4	4	7	5	7
gene2430	CP007536.1	1943774	1944751	-	978	86	90	69	169	138	70	73	102	90	78
gene2431	CP007536.1	1944827	1945897	-	1071	831	1135	837	1761	1450	878	633	766	658	551
gene2432	CP007536.1	1945937	1946557	-	621	97	126	119	197	204	278	243	269	208	179
gene2433	CP007536.1	1946590	1946847	+	258	14	12	6	23	17	17	15	13	16	7
gene2434	CP007536.1	1946844	1947146	+	303	132	48	101	213	100	42	70	83	97	61
gene2435	CP007536.1	1947455	1947775	-	321	57	84	49	128	88	118	89	91	79	77
gene2436	CP007536.1	1947786	1948163	-	378	142	187	108	246	196	246	182	182	175	155
gene2437	CP007536.1	1948222	1948728	-	507	101	144	102	180	168	192	158	217	200	155
gene2438	CP007536.1	1948828	1949421	+	594	515	833	596	1120	806	398	413	477	490	409
gene2439	CP007536.1	1949907	1950536	+	630	382	495	456	1242	527	268	297	323	263	290
gene2440	CP007536.1	1950828	1951217	-	390	7	13	8	17	18	4	2	10	8	5
gene2441	CP007536.1	1951374	1951484	-	111	17	15	11	33	23	31	17	20	32	14
gene2442	CP007536.1	1951595	1951861	-	267	49	101	54	122	90	98	113	160	147	101
gene2443	CP007536.1	1952003	1952944	+	942	54	110	73	134	91	69	56	68	56	58
gene2444	CP007536.1	1953039	1953155	+	117	12	13	12	27	26	10	14	11	15	15
gene2445	CP007536.1	1953183	1953572	-	390	52	53	35	82	75	56	31	41	45	36
gene2446	CP007536.1	1953713	1953934	+	222	157	202	165	334	279	112	120	138	131	78
gene2447	CP007536.1	1954202	1954968	-	767	35	34	27	66	55	40	32	43	43	28
gene2448	CP007536.1	1955023	1955316	+	294	29	48	35	69	37	28	46	30	48	26
gene2449	CP007536.1	1955478	1955876	+	399	33	23	28	48	39	18	25	34	19	21
gene2450	CP007536.1	1955976	1956620	-	645	192	226	156	381	275	112	98	147	137	107
gene2451	CP007536.1	1957185	1958000	+	816	24	23	21	40	27	34	26	34	39	33
gene2452	CP007536.1	1958129	1958767	+	639	10	3	8	26	12	19	21	18	20	15
gene2453	CP007536.1	1959003	1959542	+	540	23	19	18	42	26	34	33	36	29	24
gene2454	CP007536.1	1959721	1961331	-	1611	1227	1562	1066	2742	2089	2452	1699	2090	1711	1353
gene2455	CP007536.1	1961288	1961986	-	699	775	1244	793	2083	1617	1951	1458	1720	1444	919
gene2456	CP007536.1	1962017	1962181	-	165	54	63	58	87	71	114	99	120	126	98
gene2457	CP007536.1	1962188	1962898	-	711	409	699	468	1031	764	1050	817	999	866	683
gene2458	CP007536.1	1962948	1963097	-	150	3	3	2	6	9	8	7	4	10	5
gene2459	CP007536.1	1963435	1963929	+	495	751	961	785	1464	1143	335	382	676	602	439
gene2460	CP007536.1	1963977	1964687	-	711	939	1118	924	2126	1421	168	155	237	196	156
gene2461	CP007536.1	1964703	1965293	-	591	568	708	525	1321	871	84	58	86	73	55
gene2462	CP007536.1	1965483	1965614	-	132	0	0	1	0	0	0	2	0	2	1
gene2463	CP007536.1	1965574	1965831	+	258	29	29	24	57	34	30	39	51	37	27
gene2464	CP007536.1	1966057	1968429	+	2373	519	653	495	1221	934	976	784	1082	986	668
gene2465	CP007536.1	1968426	1969481	+	1056	212	316	200	491	365	417	353	448	385	255
gene2466	CP007536.1	1969462	1969830	-	369	50	84	66	144	94	117	101	130	106	69
gene2467	CP007536.1	1969889	1970767	+	879	125	192	143	278	236	496	302	355	303	187
gene2468	CP007536.1	1970818	1972251	+	1434	1534	1905	1476	3447	2564	3409	2159	2701	2433	2012
gene2469	CP007536.1	1972255	1972704	+	450	158	175	128	316	255	301	198	244	250	165
gene2470	CP007536.1	1972747	1972998	-	252	28	12	12	45	42	65	46	46	56	23
gene2471	CP007536.1	1973610	1974458	-	849	151	181	135	333	243	337	251	273	244	180
gene2472	CP007536.1	1974464	1975072	-	609	263	341	237	547	422	629	496	610	508	350
gene2473	CP007536.1	1975231	1977399	+	2169	6748	8826	6402	13188	10610	6282	5741	8139	7310	5705
gene2474	CP007536.1	1977643	1978992	+	1350	5964	7530	5420	13702	10533	14003	9190	9975	8547	7869
gene2475	CP007536.1	1979051	1979326	+	276	71	56	46	159	123	158	109	170	155	107
gene2476	CP007536.1	1979334	1979693	-	360	45	39	38	87	90	84	69	100	114	69
gene2477	CP007536.1	1979690	1980505	-	816	133	137	109	280	236	250	184	260	232	195
gene2478	CP007536.1	1980502	1981209	-	708	154	185	170	363	231	287	245	293	292	179
gene2479	CP007536.1	1981206	1981838	-	633	234	261	210	507	346	424	333	363	342	285
gene2480	CP007536.1	1981848	1982450	-	603	697	957	665	1474	1209	2360	1906	1702	1467	1085
gene2481	CP007536.1	1982460	1983413	-	954	75	56	46	142	110	190	141	200	190	143
gene2482	CP007536.1	1983410	1984504	-	1095	190	225	157	419	342	484	398	506	492	355
gene2483	CP007536.1	1984501	1985823	-	1323	246	285	242	509	413	484	446	650	553	448
gene2484	CP007536.1	1985825	1986814	-	990	307	429	296	649	479	835	700	1022	877	665
gene2485	CP007536.1	1986927	1988183	-	1257	208	285	188	473	357	504	371	452	405	328
gene2486	CP007536.1	1988372	1988623	-	252	19	25	14	44	39	41	29	43	30	15
gene2487	CP007536.1	1988766	1989170	+	405	198	273	192	394	323	139	114	116	79	91
gene2488	CP007536.1	1989359	1989784	+	426	4	8	5	16	5	8	9	8	8	13
gene2489	CP007536.1	1990101	1991228	-	1128	1106	1713	1136	2694	2110	2401	2008	2760	2448	1777
gene2490	CP007536.1	1991372	1992409	+	1038	954	1434	918	2240	1641	1580	1211	1538	1247	1023
gene2491	CP007536.1	1992414	1992545	-	132	28	42	25	45	44	39	34	46	43	31
gene2492	CP007536.1	1992693	1992857	-	165	7	8	9	14	8	5	5	10	13	8
gene2493	CP007536.1	1993115	1993321	-	207	21	35	26	46	58	13	29	27	29	13
gene2494	CP007536.1	1993578	1993847	+	270	64	55	49	141	98	145	94	125	126	95
gene2495	CP007536.1	1993862	1994512	+	651	35	26	24	90	57	108	71	64	62	61
gene2496	CP007536.1	1995040	1995564	+	525	31	35	27	53	39	33	26	30	34	29
gene2497	CP007536.1	1995620	1995766	+	147	5	3	2	5	1	2	1	5	3	1
gene2498	CP007536.1	1995851	1996297	+	447	33	33	25	68	48	36	29	35	25	21
gene2499	CP007536.1	1996372	1997322	-	951	371	465	394	723	551	270	254	304	276	254
gene2500	CP007536.1	1997419	1998435	-	1017	83	97	87	145	103	153	138	157	129	128
gene2501	CP007536.1	1998564	1998731	-	168	5	1	4	12	6	2	6	7	4	3
gene2502	CP007536.1	1998788	1999090	-	303	29	45	34	58	35	30	31	57	63	40
gene2503	CP007536.1	1999204	2000718	+	1515	109	173	121	209	145	79	83	117	109	95
gene2504	CP007536.1	2001021	2001965	-	945	65	69	51	109	72	70	67	84	74	56
gene2505	CP007536.1	2002546	2002833	+	288	10	10	7	21	13	15	10	15	23	15
gene2506	CP007536.1	2003135	2003416	+	282	349	363	333	652	583	490	371	319	316	244
gene2507	CP007536.1	2003420	2003971	+	552	477	522	374	964	762	802	496	471	385	279
gene2508	CP007536.1	2003972	2004562	-	591	106	108	92	208	159	167	150	143	123	101
gene2509	CP007536.1	2004646	2005182	-	537	3754	5001	3873	7498	5821	5488	5482	7799	7079	6162
gene2510	CP007536.1	2005275	2005640	-	366	84	97	70	177	126	160	152	148	110	92
gene2511	CP007536.1	2005687	2006862	-	1176	425	658	453	992	844	746	539	675	517	355
gene2512	CP007536.1	2006939	2008165	-	1227	243	335	216	448	355	540	477	695	657	426
gene2513	CP007536.1	2008288	2009436	-	1149	259	378	254	558	435	319	360	500	443	289
gene2514	CP007536.1	2009695	2010555	+	861	42	72	53	114	91	59	44	64	42	46
gene2515	CP007536.1	2010569	2011309	+	741	40	38	41	86	48	34	10	35	13	11
gene2516	CP007536.1	2011417	2012793	+	1377	28	16	18	52	41	26	13	20	15	7
gene2517	CP007536.1	2012796	2012969	+	174	8	4	5	12	3	5	4	2	7	3
gene2518	CP007536.1	2013207	2014118	+	912	42	51	34	69	55	33	29	22	19	17
gene2519	CP007536.1	2014146	2014919	+	774	23	27	11	47	37	9	15	18	8	5
gene2520	CP007536.1	2015058	2016431	+	1374	35	37	29	78	58	41	32	37	22	26
gene2521	CP007536.1	2016433	2016714	+	282	12	5	10	12	19	17	9	10	12	6
gene2522	CP007536.1	2016755	2018404	+	1650	44	47	30	99	57	47	40	35	45	30
gene2523	CP007536.1	2018407	2018706	+	300	4	8	2	17	13	5	7	7	9	9
gene2524	CP007536.1	2018877	2019308	+	432	587	802	632	1378	1205	1162	952	1259	1007	684
gene2525	CP007536.1	2019305	2019604	-	300	122	104	107	218	171	198	146	225	218	139
gene2526	CP007536.1	2019612	2020244	-	633	61	79	56	121	95	124	147	177	162	126
gene2527	CP007536.1	2020345	2020578	+	234	2187	4245	3088	4873	3726	1768	2507	3959	4409	3398
gene2528	CP007536.1	2020623	2021309	-	687	442	565	374	935	694	580	481	650	546	421
gene2529	CP007536.1	2021173	2021748	+	576	418	651	447	1032	735	884	672	823	703	562
gene2530	CP007536.1	2021752	2023590	+	1839	2928	4252	2784	6790	5015	4823	4076	5775	4593	3556
gene2531	CP007536.1	2023637	2024758	+	1122	584	646	469	1201	901	925	827	1160	1021	768
gene2532	CP007536.1	2024805	2025386	+	582	1696	2503	1813	3278	2998	2727	1957	2036	1823	1336
gene2533	CP007536.1	2025549	2025803	+	255	39	23	21	79	45	46	54	68	78	41
gene2534	CP007536.1	2025787	2026041	+	255	1	3	3	3	3	6	3	9	6	6
gene2535	CP007536.1	2026103	2026225	+	123	7	4	3	11	10	4	6	11	8	10
gene2536	CP007536.1	2026311	2026454	-	144	11	16	10	20	21	11	19	11	9	11
gene2537	CP007536.1	2026451	2027500	-	1050	55	50	46	107	98	61	48	52	54	32
gene2538	CP007536.1	2028100	2028663	-	564	117	160	99	256	200	187	155	208	179	123
gene2539	CP007536.1	2028871	2029719	-	849	54	71	45	129	104	61	37	38	30	39
gene2540	CP007536.1	2029820	2029909	-	90	0	0	0	1	2	0	0	0	0	0
gene2541	CP007536.1	2029851	2030099	-	249	3	6	9	5	13	5	6	4	4	0
gene2542	CP007536.1	2030093	2030254	-	162	11	1	3	19	10	7	2	6	8	7
gene2543	CP007536.1	2030509	2030742	-	234	10	6	11	16	7	15	9	15	12	2
gene2544	CP007536.1	2031055	2031549	+	495	19	25	16	38	33	18	18	30	26	20
gene2545	CP007536.1	2032095	2032358	-	264	7	6	3	11	9	13	7	17	11	6
gene2546	CP007536.1	2032445	2033431	-	987	30	32	36	73	44	85	62	79	79	53
gene2547	CP007536.1	2033588	2034682	+	1095	15	21	19	39	22	51	55	56	45	27
gene2548	CP007536.1	2034897	2035751	+	855	19	32	13	39	36	39	23	34	34	17
gene2549	CP007536.1	2035723	2036556	+	834	31	32	29	54	32	31	19	26	20	17
gene2550	CP007536.1	2036608	2037447	+	840	1208	1501	1132	2725	2037	332	286	402	313	282
gene2551	CP007536.1	2037444	2038295	-	852	13848	22591	16093	30553	25607	1140	1010	1620	1448	1146
gene2552	CP007536.1	2038359	2038616	+	258	50	64	59	139	93	58	59	95	88	63
gene2553	CP007536.1	2038613	2038918	+	306	105	136	95	158	144	122	122	132	118	115
gene2554	CP007536.1	2038911	2039153	-	243	47	47	53	90	69	75	66	78	73	62
gene2555	CP007536.1	2039191	2040225	-	1035	196	249	181	457	348	423	341	448	371	300
gene2556	CP007536.1	2040338	2042011	-	1674	4122	6409	4430	9727	6802	6802	5864	7803	6523	5506
gene2557	CP007536.1	2042065	2042502	-	438	144	188	133	282	204	152	107	121	121	112
gene2558	CP007536.1	2042515	2042730	-	216	139	171	112	324	261	173	179	214	209	172
gene2559	CP007536.1	2043031	2043303	+	273	678	788	697	1793	1236	1465	1210	1573	1454	984
gene2560	CP007536.1	2043311	2043511	+	201	158	280	215	349	314	252	239	296	302	214
gene2561	CP007536.1	2043464	2044093	-	630	64	50	45	143	109	117	88	144	117	103
gene2562	CP007536.1	2044090	2044845	-	756	48	57	52	112	118	106	75	84	86	66
gene2563	CP007536.1	2044832	2045803	-	972	128	152	104	226	201	247	181	197	191	119
gene2564	CP007536.1	2045805	2046659	-	855	148	165	129	262	222	246	207	258	203	175
gene2565	CP007536.1	2046652	2047734	-	1083	138	223	131	367	247	369	257	314	276	190
gene2566	CP007536.1	2047822	2048898	+	1077	1220	1509	1178	2590	1864	2419	2019	2700	2253	1772
gene2567	CP007536.1	2048928	2050109	+	1182	178	217	175	425	312	268	176	263	250	195
gene2568	CP007536.1	2050227	2050691	+	465	535	769	560	1135	873	873	632	892	730	638
gene2569	CP007536.1	2050816	2051667	+	852	566	671	558	1108	874	1204	851	1078	985	867
gene2570	CP007536.1	2051651	2052334	-	684	98	123	75	215	180	374	285	284	272	170
gene2571	CP007536.1	2052467	2052760	+	294	33	63	47	69	51	74	57	68	53	52
gene2572	CP007536.1	2052789	2053244	+	456	902	1134	840	1950	1450	2650	1871	2447	2150	1502
gene2573	CP007536.1	2053252	2053545	+	294	582	686	574	1129	945	1398	1073	1250	1120	817
gene2574	CP007536.1	2053619	2054677	+	1059	1944	2689	2104	4620	2939	2779	2705	4285	3541	2799
gene2575	CP007536.1	2054718	2055587	+	870	333	344	302	886	586	635	486	729	597	445
gene2576	CP007536.1	2055584	2056471	-	888	29	44	32	73	69	83	80	92	94	64
gene2577	CP007536.1	2056458	2058293	-	1836	336	493	357	722	614	735	620	812	700	505
gene2578	CP007536.1	2058512	2059372	-	861	322	346	242	668	539	307	234	309	266	192
gene2579	CP007536.1	2059747	2059974	+	228	23	27	20	32	40	39	33	40	42	30
gene2580	CP007536.1	2059976	2060680	+	705	78	65	57	101	90	108	76	119	102	99
gene2581	CP007536.1	2060681	2060902	-	222	59	63	53	114	98	79	61	101	74	79
gene2582	CP007536.1	2060971	2062344	-	1374	229	299	228	528	393	196	131	138	139	107
gene2583	CP007536.1	2062516	2063019	+	504	21	26	23	51	36	25	24	26	25	17
gene2584	CP007536.1	2063086	2064354	+	1269	249	398	275	667	538	286	206	200	127	126
gene2585	CP007536.1	2064669	2065955	+	1287	313	428	331	621	520	311	267	263	232	168
gene2586	CP007536.1	2066072	2066287	+	216	97	186	115	216	172	135	118	123	135	103
gene2587	CP007536.1	2066662	2068044	+	1383	183	227	173	359	237	231	190	193	163	107
gene2588	CP007536.1	2068072	2068212	+	141	3	4	9	20	8	12	4	6	10	6
gene2589	CP007536.1	2068407	2068679	+	273	10	7	9	12	10	7	6	6	14	5
gene2590	CP007536.1	2068780	2068899	+	120	8	4	3	16	11	12	6	7	18	6
gene2591	CP007536.1	2069118	2069414	-	297	173	140	107	295	213	179	177	239	182	172
gene2592	CP007536.1	2069395	2069679	-	285	662	971	686	1392	1162	936	696	867	806	616
gene2593	CP007536.1	2069707	2069943	-	237	652	1038	800	1614	1231	1242	1011	1155	1009	846
gene2594	CP007536.1	2070196	2070405	-	210	360	801	547	790	569	214	245	219	251	209
gene2595	CP007536.1	2070545	2070787	-	243	10	14	3	21	14	9	8	21	21	12
gene2596	CP007536.1	2070798	2072903	+	2106	1082	1737	1271	2717	1953	2418	1773	2483	2080	1479
gene2597	CP007536.1	2072942	2073442	-	501	124	110	97	230	145	157	135	182	179	131
gene2598	CP007536.1	2073537	2074271	-	735	201	280	179	412	343	415	389	483	504	339
gene2599	CP007536.1	2074565	2075332	+	768	56	86	79	150	143	179	109	153	114	101
gene2600	CP007536.1	2075316	2076296	-	981	173	229	169	423	326	519	383	352	283	218
gene2601	CP007536.1	2076405	2077850	+	1446	974	1211	993	2135	1687	1850	1185	1418	1241	928
gene2602	CP007536.1	2077893	2079134	+	1242	83	91	51	140	98	90	84	92	85	68
gene2603	CP007536.1	2079088	2079561	+	474	3	1	3	6	5	2	5	2	5	2
gene2604	CP007536.1	2079641	2079898	+	258	31	32	28	60	35	35	33	48	28	28
gene2605	CP007536.1	2080354	2080812	-	459	365	493	376	777	536	168	166	261	247	177
gene2606	CP007536.1	2081660	2084503	-	2844	652	655	479	1420	1035	1813	1336	1655	1574	1025
gene2607	CP007536.1	2084382	2084561	-	180	0	0	0	0	0	3	2	0	1	1
gene2608	CP007536.1	2084662	2086377	-	1716	432	553	388	1026	626	1265	1627	1698	1262	1701
gene2609	CP007536.1	2086652	2087200	+	549	8	5	0	15	9	10	12	11	14	14
gene2610	CP007536.1	2087211	2087555	+	345	8	7	6	11	8	13	20	17	9	19
gene2611	CP007536.1	2087700	2088068	-	369	48	113	57	110	72	65	120	118	136	143
gene2612	CP007536.1	2088191	2088610	-	420	13	12	10	29	18	20	16	23	27	17
gene2613	CP007536.1	2088640	2088819	+	180	21	16	25	28	21	6	10	12	16	6
gene2614	CP007536.1	2088807	2088992	-	186	10	26	30	26	26	24	30	21	36	14
gene2615	CP007536.1	2089095	2090231	+	1137	22	45	34	58	43	22	18	35	37	15
gene2616	CP007536.1	2090259	2090468	+	210	3	4	8	14	4	5	5	8	7	8
gene2617	CP007536.1	2090448	2091182	-	735	39	31	27	85	53	45	26	41	39	35
gene2618	CP007536.1	2091707	2092009	-	303	49	104	64	154	123	65	56	79	76	46
gene2619	CP007536.1	2091960	2092130	+	171	4	4	7	9	6	9	9	7	9	5
gene2620	CP007536.1	2092143	2092673	-	531	23	35	26	67	34	73	63	49	49	37
gene2621	CP007536.1	2092739	2092813	-	75	0	0	0	0	0	1	0	0	0	0
gene2622	CP007536.1	2093409	2093846	+	438	4	11	11	9	16	10	14	7	7	10
gene2623	CP007536.1	2094157	2095032	+	876	68	100	75	134	121	130	145	157	125	119
gene2624	CP007536.1	2095313	2095519	-	207	14	12	7	23	16	15	15	14	15	15
gene2625	CP007536.1	2095519	2095743	-	225	4	6	7	17	25	8	8	8	10	7
gene2626	CP007536.1	2096137	2096649	-	513	17	27	26	41	29	23	21	27	40	20
gene2627	CP007536.1	2096725	2097465	+	741	56	58	54	124	78	45	52	80	69	32
gene2628	CP007536.1	2097415	2097564	-	150	3	2	1	2	5	4	6	3	4	2
gene2629	CP007536.1	2097614	2098735	-	1122	77	87	89	128	90	73	56	63	70	53
gene2630	CP007536.1	2098793	2099020	-	228	26	63	41	90	52	67	47	49	60	39
gene2631	CP007536.1	2099250	2099822	+	573	23	33	24	49	43	56	54	42	31	27
gene2632	CP007536.1	2099771	2100385	-	615	20	25	15	43	41	29	23	19	25	22
gene2633	CP007536.1	2100498	2100617	+	120	15	19	17	26	15	8	7	12	12	11
gene2634	CP007536.1	2100614	2101015	-	402	153	249	186	332	284	166	183	180	205	218
gene2635	CP007536.1	2101094	2101351	-	258	2	1	1	4	4	2	2	2	4	1
gene2636	CP007536.1	2101315	2101464	-	150	0	0	0	0	0	0	0	0	0	0
gene2637	CP007536.1	2101449	2101658	-	210	0	1	0	1	0	1	1	0	2	0
gene2638	CP007536.1	2102007	2102141	+	135	0	4	0	2	4	2	3	2	2	1
gene2639	CP007536.1	2102208	2102309	+	102	3	3	0	6	6	3	4	5	8	4
gene2640	CP007536.1	2102378	2102446	-	69	1	0	0	0	1	2	1	2	2	1
gene2641	CP007536.1	2102694	2103107	+	414	3	6	3	12	11	11	13	6	12	10
gene2642	CP007536.1	2103326	2103451	+	126	37	37	25	53	34	34	37	48	48	49
gene2643	CP007536.1	2103535	2103741	-	207	14	37	26	47	26	21	43	59	42	37
gene2644	CP007536.1	2104707	2104780	-	74	13	14	14	34	16	18	12	15	16	8
gene2645	CP007536.1	2104815	2105594	-	780	133	151	136	282	246	196	121	123	124	86
gene2646	CP007536.1	2105584	2106540	-	957	270	355	253	633	471	431	355	435	327	229
gene2647	CP007536.1	2106637	2106813	-	177	173	345	255	579	494	419	537	788	772	433
gene2648	CP007536.1	2106817	2107224	-	408	71	102	47	164	117	199	174	204	141	128
gene2649	CP007536.1	2107221	2107802	-	582	223	216	195	504	365	514	414	520	509	361
gene2650	CP007536.1	2107861	2108781	-	921	626	748	572	1271	1019	870	695	1013	992	729
gene2651	CP007536.1	2108769	2110637	-	1869	1326	1717	1280	2800	2212	2373	1787	2545	2082	1475
gene2652	CP007536.1	2110778	2111269	+	492	836	1187	842	1593	1268	736	708	1000	936	749
gene2653	CP007536.1	2111322	2112062	+	741	1399	1986	1459	3268	2427	2880	2441	3175	2781	1975
gene2654	CP007536.1	2112145	2112669	+	525	572	905	645	1252	1007	957	822	1015	877	689
gene2655	CP007536.1	2112659	2113282	-	624	204	298	189	490	383	331	259	312	284	220
gene2656	CP007536.1	2113286	2114113	-	828	301	326	231	519	465	431	310	282	287	194
gene2657	CP007536.1	2114070	2114837	-	768	212	252	196	412	357	462	331	380	302	232
gene2658	CP007536.1	2114806	2116155	-	1350	214	251	185	405	324	427	324	361	374	232
gene2659	CP007536.1	2116152	2116709	-	558	36	67	33	101	68	117	88	96	108	67
gene2660	CP007536.1	2116796	2117185	+	390	126	149	121	248	229	244	199	215	202	134
gene2661	CP007536.1	2117180	2118478	-	1299	275	379	299	589	449	447	407	552	473	392
gene2662	CP007536.1	2118435	2119406	+	972	263	347	280	589	471	638	521	674	588	449
gene2663	CP007536.1	2119403	2119792	-	390	62	81	53	147	115	110	122	132	112	81
gene2664	CP007536.1	2119870	2120664	+	795	384	480	365	897	693	954	672	832	706	523
gene2665	CP007536.1	2120661	2123426	-	2766	2574	3093	2305	5758	4517	3455	2767	4081	3619	2709
gene2666	CP007536.1	2123575	2124228	-	654	253	380	278	506	387	288	290	348	340	252
gene2667	CP007536.1	2124263	2124652	-	390	69	84	67	184	154	300	226	263	261	186
gene2668	CP007536.1	2124660	2125922	-	1263	687	788	652	1531	1134	2019	1540	1960	1817	1292
gene2669	CP007536.1	2125977	2126405	-	429	437	575	442	977	713	1042	818	1212	1063	701
gene2670	CP007536.1	2126437	2126685	-	249	50	60	57	83	88	22	24	33	43	32
gene2671	CP007536.1	2126916	2127386	+	471	28	21	31	48	32	32	31	30	37	20
gene2672	CP007536.1	2127448	2128605	-	1158	154	145	141	287	210	224	184	218	237	176
gene2673	CP007536.1	2128595	2129722	-	1128	227	224	231	502	404	326	310	471	398	358
gene2674	CP007536.1	2129844	2130116	-	273	4	3	3	6	9	0	4	9	4	3
gene2675	CP007536.1	2130339	2130521	-	183	42	44	38	101	77	50	58	67	63	39
gene2676	CP007536.1	2130750	2131523	+	774	191	294	197	418	310	257	268	240	236	173
gene2677	CP007536.1	2131712	2132197	-	486	24	25	30	61	49	34	17	32	23	21
gene2678	CP007536.1	2132336	2132845	+	510	190	250	195	406	336	421	362	392	335	230
gene2679	CP007536.1	2132846	2132992	-	147	19	39	15	54	57	58	57	64	69	34
gene2680	CP007536.1	2133051	2133494	-	444	9	9	13	23	17	24	11	26	14	12
gene2681	CP007536.1	2133583	2134125	+	543	130	122	119	249	201	170	167	189	207	175
gene2682	CP007536.1	2134136	2134489	-	354	309	271	215	544	485	354	290	414	421	289
gene2683	CP007536.1	2134660	2137908	-	3249	837	896	718	1607	1336	1602	1315	1806	1489	1027
gene2684	CP007536.1	2137991	2138455	-	465	873	1576	1015	2000	1724	394	399	519	571	489
gene2685	CP007536.1	2138585	2138896	+	312	29	36	34	40	43	25	23	28	28	28
gene2686	CP007536.1	2138927	2139457	-	531	199	292	204	484	372	273	207	284	222	159
gene2687	CP007536.1	2139482	2140699	-	1218	317	348	301	606	523	626	429	601	548	455
gene2688	CP007536.1	2140867	2141526	+	660	161	222	153	321	267	878	673	705	595	582
gene2689	CP007536.1	2141616	2142200	+	585	149	215	172	332	266	341	275	352	322	197
gene2690	CP007536.1	2142298	2143533	+	1236	917	1155	841	1966	1570	1952	1494	1979	1909	1701
gene2691	CP007536.1	2143838	2146582	+	2745	798	916	792	1879	1279	344	284	389	368	297
gene2692	CP007536.1	2146719	2147258	-	540	240	351	245	540	394	513	519	706	605	509
gene2693	CP007536.1	2147345	2147764	-	420	12	13	11	15	18	18	11	25	13	6
gene2694	CP007536.1	2147785	2148594	+	810	192	264	200	542	392	707	534	574	463	346
gene2695	CP007536.1	2148591	2150519	+	1929	304	419	278	780	587	887	568	689	548	448
gene2696	CP007536.1	2150506	2150739	-	234	10	12	9	18	20	11	9	19	24	8
gene2697	CP007536.1	2150871	2152079	+	1209	398	645	475	793	665	161	117	131	125	65
gene2698	CP007536.1	2152111	2152944	+	834	218	241	180	418	327	727	482	592	499	391
gene2699	CP007536.1	2152956	2153531	-	576	108	129	93	190	157	115	85	137	148	74
gene2700	CP007536.1	2153596	2153781	-	186	4	4	2	13	9	8	5	7	8	7
